1099511627775,1099511627776,2199023255551,1099511627776.000000,1099511627776.000000,2199023255552.000000,1
2199023255550,2199023255551,4398046511101,2199023255552.000000,2199023255552.000000,4398046511104.000000,3
3298534883325,3298534883326,6597069766651,3298534883328.000000,3298534883328.000000,6597069766656.000000,5
4398046511100,4398046511101,8796093022201,4398046511104.000000,4398046511104.000000,8796093022208.000000,7
5497558138875,5497558138876,10995116277751,5497558138880.000000,5497558138880.000000,10995116277760.000000,9
6597069766650,6597069766651,13194139533301,6597069766656.000000,6597069766656.000000,13194139533312.000000,11
7696581394425,7696581394426,15393162788851,7696581394432.000000,7696581394432.000000,15393162788864.000000,13
8796093022200,8796093022201,17592186044401,8796093022208.000000,8796093022208.000000,17592186044416.000000,15
9895604649975,9895604649976,19791209299951,9895604649984.000000,9895604649984.000000,19791209299968.000000,17
10995116277750,10995116277751,21990232555501,10995116277760.000000,10995116277760.000000,21990232555520.000000,19
12094627905525,12094627905526,24189255811051,12094627905536.000000,12094627905536.000000,24189255811072.000000,21
13194139533300,13194139533301,26388279066601,13194139533312.000000,13194139533312.000000,26388279066624.000000,23
14293651161075,14293651161076,28587302322151,14293651161088.000000,14293651161088.000000,28587302322176.000000,25
15393162788850,15393162788851,30786325577701,15393162788864.000000,15393162788864.000000,30786325577728.000000,27
16492674416625,16492674416626,32985348833251,16492674416640.000000,16492674416640.000000,32985348833280.000000,29
17592186044400,17592186044401,35184372088801,17592186044416.000000,17592186044416.000000,35184372088832.000000,31
18691697672175,18691697672176,37383395344351,18691697672192.000000,18691697672192.000000,37383395344384.000000,33
19791209299950,19791209299951,39582418599901,19791209299968.000000,19791209299968.000000,39582418599936.000000,35
20890720927725,20890720927726,41781441855451,20890720927744.000000,20890720927744.000000,41781441855488.000000,37
21990232555500,21990232555501,43980465111001,21990232555520.000000,21990232555520.000000,43980465111040.000000,39
23089744183275,23089744183276,46179488366551,23089744183296.000000,23089744183296.000000,46179488366592.000000,41
24189255811050,24189255811051,48378511622101,24189255811072.000000,24189255811072.000000,48378511622144.000000,43
25288767438825,25288767438826,50577534877651,25288767438848.000000,25288767438848.000000,50577534877696.000000,45
26388279066600,26388279066601,52776558133201,26388279066624.000000,26388279066624.000000,52776558133248.000000,47
27487790694375,27487790694376,54975581388751,27487790694400.000000,27487790694400.000000,54975581388800.000000,49
28587302322150,28587302322151,57174604644301,28587302322176.000000,28587302322176.000000,57174604644352.000000,51
29686813949925,29686813949926,59373627899851,29686813949952.000000,29686813949952.000000,59373627899904.000000,53
30786325577700,30786325577701,61572651155401,30786325577728.000000,30786325577728.000000,61572651155456.000000,55
31885837205475,31885837205476,63771674410951,31885837205504.000000,31885837205504.000000,63771674411008.000000,57
32985348833250,32985348833251,65970697666501,32985348833280.000000,32985348833280.000000,65970697666560.000000,59
34084860461025,34084860461026,68169720922051,34084860461056.000000,34084860461056.000000,68169720922112.000000,61
35184372088800,35184372088801,70368744177601,35184372088832.000000,35184372088832.000000,70368744177664.000000,63
36283883716575,36283883716576,72567767433151,36283883716608.000000,36283883716608.000000,72567767433216.000000,65
37383395344350,37383395344351,74766790688701,37383395344384.000000,37383395344384.000000,74766790688768.000000,67
38482906972125,38482906972126,76965813944251,38482906972160.000000,38482906972160.000000,76965813944320.000000,69
39582418599900,39582418599901,79164837199801,39582418599936.000000,39582418599936.000000,79164837199872.000000,71
40681930227675,40681930227676,81363860455351,40681930227712.000000,40681930227712.000000,81363860455424.000000,73
41781441855450,41781441855451,83562883710901,41781441855488.000000,41781441855488.000000,83562883710976.000000,75
42880953483225,42880953483226,85761906966451,42880953483264.000000,42880953483264.000000,85761906966528.000000,77
43980465111000,43980465111001,87960930222001,43980465111040.000000,43980465111040.000000,87960930222080.000000,79
45079976738775,45079976738776,90159953477551,45079976738816.000000,45079976738816.000000,90159953477632.000000,81
46179488366550,46179488366551,92358976733101,46179488366592.000000,46179488366592.000000,92358976733184.000000,83
47278999994325,47278999994326,94557999988651,47278999994368.000000,47278999994368.000000,94557999988736.000000,85
48378511622100,48378511622101,96757023244201,48378511622144.000000,48378511622144.000000,96757023244288.000000,87
49478023249875,49478023249876,98956046499751,49478023249920.000000,49478023249920.000000,98956046499840.000000,89
50577534877650,50577534877651,101155069755301,50577534877696.000000,50577534877696.000000,101155069755392.000000,91
51677046505425,51677046505426,103354093010851,51677046505472.000000,51677046505472.000000,103354093010944.000000,93
52776558133200,52776558133201,105553116266401,52776558133248.000000,52776558133248.000000,105553116266496.000000,95
53876069760975,53876069760976,107752139521951,53876069761024.000000,53876069761024.000000,107752139522048.000000,97
54975581388750,54975581388751,109951162777501,54975581388800.000000,54975581388800.000000,109951162777600.000000,99
56075093016525,56075093016526,112150186033051,56075093016576.000000,56075093016576.000000,112150186033152.000000,101
57174604644300,57174604644301,114349209288601,57174604644352.000000,57174604644352.000000,114349209288704.000000,103
58274116272075,58274116272076,116548232544151,58274116272128.000000,58274116272128.000000,116548232544256.000000,105
59373627899850,59373627899851,118747255799701,59373627899904.000000,59373627899904.000000,118747255799808.000000,107
60473139527625,60473139527626,120946279055251,60473139527680.000000,60473139527680.000000,120946279055360.000000,109
61572651155400,61572651155401,123145302310801,61572651155456.000000,61572651155456.000000,123145302310912.000000,111
62672162783175,62672162783176,125344325566351,62672162783232.000000,62672162783232.000000,125344325566464.000000,113
63771674410950,63771674410951,127543348821901,63771674411008.000000,63771674411008.000000,127543348822016.000000,115
64871186038725,64871186038726,129742372077451,64871186038784.000000,64871186038784.000000,129742372077568.000000,117
